date,latitude,longitude,descr_cat_veh,descr_agglo,descr_lum,age,descr_dispo_secu,descr_grav,descr_type_col
49,47.6833,6.5,17,1,1,54.0,14,1,6
14,46.6167,4.8,21,1,4,52.0,14,1,3
6,47.75,7.33333,21,2,1,51.0,14,1,1
12,50.5667,3.05,21,2,1,72.0,14,2,3
47,45.3833,-0.6,21,1,1,64.0,14,2,2
45,45.5833,-0.833333,23,1,1,34.0,14,1,1
42,46.8,1.63333,21,2,2,32.0,15,4,2
27,44.8,1.63333,21,1,1,46.0,14,3,1
30,47.7667,-3.01667,4,1,1,29.0,5,4,3
11,48.3667,6.25,21,1,4,59.0,14,4,4
48,48.5833,-3.83333,21,2,1,85.0,14,2,3
34,45.8833,3.6,5,1,3,36.0,11,4,2
32,48.7,2.18333,23,2,1,43.0,14,1,4
17,45.3833,0.716667,21,1,1,100.0,14,4,1
20,47.2667,-0.083333,5,1,1,27.0,11,2,1
9,49.5333,5.78333,21,1,2,30.0,1,1,8
32,48.55,3.21667,21,1,1,41.0,14,4,3
28,48.35,-1.2,5,2,2,32.0,11,3,2
46,48.9,-0.35,21,1,1,35.0,14,4,2
32,48.8,2.18333,21,1,1,39.0,14,2,8
19,43.6,1.43333,24,1,1,67.0,14,1,7
29,44.35,4.76667,21,1,4,90.0,8,4,2
11,44.4667,2.46667,7,1,1,56.0,11,4,2
28,45.1333,3.81667,7,1,1,53.0,11,2,1
21,50.7,3.16667,21,1,1,51.0,8,3,7
44,48.5667,2.5,21,1,1,41.0,14,2,4
51,49.0,1.91667,21,2,1,32.0,14,2,1
17,45.8667,-0.966667,21,1,3,44.0,14,3,3
6,45.95,1.2,7,1,1,61.0,11,3,2
34,47.75,-3.36667,21,2,1,18.0,8,2,4
27,42.6833,2.88333,21,2,1,50.0,14,2,1
5,50.35,3.53333,21,1,3,73.0,14,1,6
2,48.8,2.06667,21,2,2,59.0,8,3,7
35,49.65,-1.65,4,2,1,27.0,5,2,1
45,50.4084,1.59278,5,2,1,31.0,11,2,1
7,47.3167,5.01667,21,2,1,69.0,14,1,7
6,48.5167,-2.78333,21,2,1,77.0,14,2,1
31,50.7,2.28333,5,2,1,33.0,11,3,3
10,49.7333,2.33333,13,1,1,29.0,11,2,2
12,48.55,-3.13333,7,1,1,41.0,11,3,2
49,43.3,-0.366667,21,2,1,36.0,14,2,1
45,45.75,-0.633333,21,1,3,59.0,14,3,2
40,43.1667,1.11667,21,1,3,41.0,15,4,3
28,45.1333,0.6,21,1,1,73.0,14,2,3
44,46.5833,0.333333,21,2,1,37.0,14,1,2
40,49.4333,1.2,7,1,1,32.0,11,3,3
45,49.9167,2.96667,21,1,3,53.0,14,3,6
29,46.0333,-1.38333,7,1,1,70.0,11,3,3
36,48.6833,-1.9,7,1,1,67.0,11,2,1
45,47.1333,-0.15,13,2,1,29.0,11,3,1
13,47.5167,3.53333,21,2,1,90.0,14,4,2
31,48.7,6.23333,21,2,1,47.0,14,1,1
